DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
08122	Longview School District	3512	Harding School	0
33115	Colville School District	1594	Panorama School	0
37507	Mount Baker School District	5112	Mount Baker Academy	0
17903	Muckleshoot Indian Tribe	1986	Muckleshoot Tribal School	0
22105	Odessa School District	2769	P C Jantz Elementary	0
31025	Marysville School District	5478	Marysville Getchell High School	0
20404	Goldendale School District	2677	Goldendale Primary School	0
31004	Lake Stevens School District	2426	Lake Stevens Sr High School	0
17414	Lake Washington School District	1706	International Community School	0
31103	Monroe School District	1570	Monroe Special Ed Preschool	0
34003	North Thurston Public Schools	3010	North Thurston High School	0
24111	Brewster School District	2800	Brewster High School	0
06114	Evergreen School District (Clark)	3148	Ellsworth Elementary School	0
17417	Northshore School District	3749	Woodin Elementary	0
38324	Oakesdale School District	3205	Oakesdale Elementary School	0
06114	Evergreen School District (Clark)	3822	Crestline Elementary School	0
17210	Federal Way Public Schools	3547	Camelot Elementary School	1
31201	Snohomish School District	2428	Snohomish High School	0
13161	Moses Lake School District	1571	Discover	0
20401	Glenwood School District	3048	Glenwood Secondary	0
17401	Highline Public Schools	3165	Hilltop Elementary	1
17401	Highline Public Schools	1782	Childhaven	1
17408	Auburn School District	4347	Hazelwood Elementary School	1
31332	Granite Falls School District	5171	Crossroads High School	0
14097	Lake Quinault School District	2921	Lake Quinault Elementary	0
17414	Lake Washington School District	3592	Bell Elementary	0
32354	Mead School District	4133	Midway Elementary	0
15201	Oak Harbor School District	2974	Oak Harbor High School	0
32081	Spokane School District	2172	Lewis & Clark High School	0
35200	Wahkiakum School District	3467	Wahkiakum High School	0
31015	Edmonds School District	3606	Edmonds Elementary	0
37507	Mount Baker School District	3365	Harmony Elementary	0
06037	Vancouver School District	3543	Jason Lee Middle School	0
17411	Issaquah School District	5026	Pacific Cascade Freshman Campus	0
17210	Federal Way Public Schools	3568	Lake Grove Elementary School	1
22204	Harrington School District	2743	Harrington Elementary School	0
14097	Lake Quinault School District	2973	Lake Quinault High School	0
17414	Lake Washington School District	5053	Rosa Parks Elementary	0
17403	Renton School District	2597	Kennydale Elementary School	1
17001	Seattle Public Schools	2209	Broadview-Thomson K_8 School	0
17410	Snoqualmie Valley School District	5374	SVSD OPEN DOORS	0
39208	West Valley School District (Yakima)	4040	West Valley Jr High	0
27403	Bethel School District	5160	Nelson Elementary School	0
11001	Pasco School District	2790	Longfellow Elementary	0
17408	Auburn School District	5037	Auburn Mountainview High School	1
18303	Bainbridge Island School District	2395	Bainbridge High School	0
21206	Mossyrock School District	3238	Mossyrock Middle & High Schl	0
34003	North Thurston Public Schools	4409	Komachin Middle School	0
18100	Bremerton School District	4038	West Sound Technical Skills Center	0
06112	Washougal School District	3147	Washougal High School	0
37501	Bellingham School District	2817	Carl Cozier Elementary School	0
32360	Cheney School District	3610	Cheney High School	0
39090	East Valley School District (Yakima)	2821	Terrace Heights Elementary	0
06114	Evergreen School District (Clark)	4587	Columbia Valley Elementary	0
11051	North Franklin School District	2198	Robert L Olds Junior High School	0
27010	Tacoma School District	2247	Northeast Tacoma	0
32326	Medical Lake School District	3359	Medical Lake Elementary	0
17412	Shoreline School District	3102	Shoreline Children's Center	0
31016	Arlington School District	4436	Kent Prairie Elementary	0
37501	Bellingham School District	5340	Graduation Alliance Bellingham	0
17401	Highline Public Schools	2734	McMicken Heights Elementary	1
17417	Northshore School District	3442	Moorlands Elementary	0
16048	Quilcene School District	5236	PEARL	0
17001	Seattle Public Schools	1750	Education Service Centers	0
18402	South Kitsap School District	5072	Madrona Heights PreSchool Program	0
05401	Cape Flattery School District	2594	Neah Bay Elementary School	0
17415	Kent School District	3389	Scenic Hill Elementary School	1
28144	Lopez School District	4178	Decatur Elementary	0
39208	West Valley School District (Yakima)	5504	WEST VALLEY VIRTUAL ACADEMY K-6	0
13301	Grand Coulee Dam School District	2672	Grand Coulee Dam Middle School	0
21401	Centralia School District	2291	Oakview Elementary School	0
09206	Eastmont School District	3083	Robert E Lee Elementary	0
37502	Ferndale School District	2263	Beach Elem	0
17403	Renton School District	2640	Highlands Elementary School	1
17001	Seattle Public Schools	1620	Pathfinder K-8 School	0
17001	Seattle Public Schools	3581	Wing Luke Elementary School	1
05402	Quillayute Valley School District	2609	Forks Middle School	0
18100	Bremerton School District	3108	Crownhill Elementary School	0
17414	Lake Washington School District	2739	Lake Washington High	0
08122	Longview School District	5400	Discovery High School-Achieve	0
27401	Peninsula School District	3299	Artondale Elementary School	0
17001	Seattle Public Schools	2092	Whittier Elementary School	0
39201	Sunnyside School District	2469	Outlook Elementary School	0
08404	Woodland School District	1795	TEAM High School	0
39007	Yakima School District	5019	Early Childhood Center	0
32361	East Valley School District (Spokane)	4211	Skyview Elementary	0
17405	Bellevue School District	5031	PoderMas	0
24111	Brewster School District	3293	Brewster Elementary School	0
17210	Federal Way Public Schools	5280	Dynamic Family Services	1
50002	Juvenile Detention Centers	4092	Yakima Co Juvenile Detention	0
17414	Lake Washington School District	3549	Ready Start Preschool	0
37903	Lummi Tribal Agency	5373	Lummi Nation School	0
27403	Bethel School District	1510	Challenger Secondary School	0
02250	Clarkston School District	5413	Educational Opportunity Center Reengagement	0
08458	Kelso School District	1934	Loowit High School	0
17414	Lake Washington School District	4148	Evergreen Middle School	0
24019	Omak School District	2999	N Omak Elementary	0
17403	Renton School District	2439	Bryn Mawr Elementary School	1
17001	Seattle Public Schools	5048	Birth to 3 Contracts	0
17001	Seattle Public Schools	2089	Martin Luther King Jr. Elementary School	1
14028	Hoquiam School District	2098	Washington Elementary School	0
33030	Onion Creek School District	2049	Onion Creek Elementary	0
27401	Peninsula School District	3055	Evergreen Elementary	0
27003	Puyallup School District	2495	Waller Road Elementary	0
32901	Spokane International Academy	5381	Spokane International Academy Elementary	0
18303	Bainbridge Island School District	1935	Eagle Harbor High School	0
37502	Ferndale School District	5245	WINDWARD HIGH SCHOOL	0
31025	Marysville School District	3355	Marysville Middle School	0
39003	Naches Valley School District	5451	Naches Valley Elementary School	0
06037	Vancouver School District	3017	Lake Shore Elementary	0
21226	Adna School District	2441	Adna Middle/High School	0
39119	Selah School District	5334	SELAH ACADEMY REENGAGEMENT PROGRAM 	0
37505	Meridian School District	1783	Timber Ridge	0
33115	Colville School District	5230	Panorama Distance	0
31015	Edmonds School District	3536	Brier Elementary	0
32354	Mead School District	1858	Mead Education Partnership Prog	0
27001	Steilacoom Hist. School District	4171	Harriet Taylor Elementary	0
31015	Edmonds School District	5358	Edmonds Career Access Program	0
27003	Puyallup School District	5093	Edgerton Elementary	0
21226	Adna School District	2227	Adna Elementary School	0
27003	Puyallup School District	3972	Walker High School	0
05323	Sequim School District	2722	Helen Haller Elementary School	0
39201	Sunnyside School District	2959	Sunnyside High School	0
27403	Bethel School District	4103	Shining Mountain Elementary	0
32354	Mead School District	2402	Mead Senior High School	0
