DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
17405	Bellevue School District	3435	Tillicum Middle School	0
37501	Bellingham School District	2175	Silver Beach Elementary School	0
27403	Bethel School District	4331	Centennial Elementary Bethel	0
02250	Clarkston School District	2962	Grantham Elementary	0
32081	Spokane School District	1639	Deaconess Hospital Alternative	0
06117	Camas School District	4567	Camas High School	0
18401	Central Kitsap School District	2994	Brownsville Elementary	0
18401	Central Kitsap School District	4014	Cottonwood Elementary School	0
32356	Central Valley School District	3890	Evergreen Middle School	0
01158	Lind School District	5293	Lind-Ritzville Middle School	0
32354	Mead School District	3759	Farwell Elementary School	0
17412	Shoreline School District	3343	Shorecrest High School	0
04246	Wenatchee School District	3370	Orchard Middle School	0
17408	Auburn School District	1915	Special Ed School	1
27400	Clover Park School District	2041	Firwood	0
31306	Lakewood School District	4204	Lakewood High School	0
37506	Nooksack Valley School District	2489	Sumas Elementary	0
17410	Snoqualmie Valley School District	5457	Timber Ridge Elementary School	0
31025	Marysville School District	3354	Tulalip Elementary	0
13161	Moses Lake School District	2833	Knolls Vista Elementary	0
11001	Pasco School District	4595	Maya Angelou Elementary	0
25160	Willapa Valley School District	3445	Lebam Elementary	0
27400	Clover Park School District	5387	Four Heroes Elementary	0
39007	Yakima School District	5263	Yakima Adult Jail	0
17937	Lake Washington Institute of Technology	5953	Lake Washington Technical Academy	0
37504	Lynden School District	3417	Fisher Elementary School	0
05121	Port Angeles School District	5115	Roosevelt Elementary School	0
17412	Shoreline School District	3958	Meridian Park Elementary School	0
27001	Steilacoom Hist. School District	2237	Pioneer Middle	0
17210	Federal Way Public Schools	4340	Merit School	1
11051	North Franklin School District	1889	Connell Preschool	0
34003	North Thurston Public Schools	4368	Seven Oaks Elementary	0
28137	Orcas Island School District	2750	Orcas Island High School	0
09013	Orondo School District	2666	Orondo Elementary and Middle School	0
27010	Tacoma School District	3646	Boze	0
06037	Vancouver School District	2610	Hough Elementary School	0
32363	West Valley School District (Spokane)	3194	Pasadena Park Elementary	0
18100	Bremerton School District	5395	Career & Academic Re-engagement Center	0
33183	Loon Lake School District	1922	Loon Lake Homelink Program	0
25116	Raymond School District	2357	Raymond Jr Sr High School	0
10309	Republic School District	3579	Republic Senior High School	0
34002	Yelm School District	2481	Yelm Middle School	0
32356	Central Valley School District	2953	Progress Elementary School	0
17414	Lake Washington School District	4532	Blackwell Elementary	0
31103	Monroe School District	1777	Sky Valley Education Center	0
34111	Olympia School District	4473	Thurgood Marshall Middle School	0
27003	Puyallup School District	4183	Ferrucci Jr High	0
16048	Quilcene School District	2474	Quilcene High And Elementary	0
17001	Seattle Public Schools	2839	Denny Middle School	1
17412	Shoreline School District	1667	Handicapped Contractual Services	0
39007	Yakima School District	2819	Nob Hill Elementary School	0
39007	Yakima School District	3312	Whitney Elementary Yakima	0
22017	Almira School District	2860	Almira Elementary School	0
17408	Auburn School District	3745	Evergreen Heights Elementary	1
31002	Everett School District	2364	North Middle School	0
32326	Medical Lake School District	4577	Michael Anderson Elementary	0
14400	Oakville School District	2922	Oakville Elementary	0
24019	Omak School District	2031	Omak High School	0
17405	Bellevue School District	1668	Transition Program	0
06117	Camas School District	5309	Woodburn Elementary	0
18401	Central Kitsap School District	4509	Klahowya Secondary	0
17403	Renton School District	3741	Lindbergh Senior High School	1
32081	Spokane School District	2086	Roosevelt Elementary	0
27001	Steilacoom Hist. School District	2040	Anderson Island Elementary	0
06112	Washougal School District	5494	Columbia River Gorge Elementary School	0
17210	Federal Way Public Schools	3432	Olympic View Elementary School	1
17414	Lake Washington School District	4167	Northstar Middle School	0
27003	Puyallup School District	3052	Kalles Junior High	0
14104	Satsop School District	2010	Satsop Elementary	0
39119	Selah School District	2388	Selah High School	0
17412	Shoreline School District	2703	Ridgecrest Elementary	0
32081	Spokane School District	3189	Shadle Park High School	0
27019	Carbonado School District	2466	Carbonado Historical School 19	0
06114	Evergreen School District (Clark)	4162	Mountain View High School	0
17210	Federal Way Public Schools	5107	Federal Way Running Start Home School	1
34033	Tumwater School District	3925	Thurs Co Juv Det/Tumwater West E	0
36402	Prescott School District	3574	Prescott Elementary School	0
01160	Ritzville School District	2132	Ritzville High School	0
17001	Seattle Public Schools	1863	The Bridge	0
32356	Central Valley School District	5278	Spokane Valley Tech	0
31311	Sultan School District	2229	Sultan Elementary School	0
17409	Tahoma School District	3937	Maple View Middle School	0
17409	Tahoma School District	4453	Glacier Park Elementary	0
08404	Woodland School District	5407	Woodland Primary School	0
31006	Mukilteo School District	3502	Lake Stickney Elementary	0
27403	Bethel School District	4099	Evergreen Elementary	0
17411	Issaquah School District	1623	Transition School	0
18303	Bainbridge Island School District	1699	Odyssey Multiage Program	0
39203	Highland School District	4559	Highland High School	0
01158	Lind School District	2903	Lind-Ritzville High School	0
32081	Spokane School District	2312	Finch Elementary	0
27010	Tacoma School District	5458	Industrial Design Engineering and Art	0
17401	Highline Public Schools	3163	Cascade Middle School	1
33212	Kettle Falls School District	2385	Kettle Falls Elementary School	0
16048	Quilcene School District	5081	Crossroads Community School	0
31201	Snohomish School District	4383	Totem Falls	0
32081	Spokane School District	2218	Browne Elementary	0
27010	Tacoma School District	2872	Browns Point	0
30303	Stevenson-Carson School District	5318	Columbia Gorge School	0
18402	South Kitsap School District	1718	Explorer Academy	0
17417	Northshore School District	4377	Woodmoor Elementary	0
17902	Summit Public School: Sierra	5375	Summit Public School: Sierra	1
18401	Central Kitsap School District	4249	Ridgetop Middle School	0
17210	Federal Way Public Schools	5219	Federal Way Public Schools Headstart	1
11001	Pasco School District	3425	Edwin Markham Elementary	0
27010	Tacoma School District	2275	Roosevelt	0
39207	Wapato School District	2960	Camas Elementary	0
27416	White River School District	5045	White River Special Ed Services	0
17411	Issaquah School District	1540	Tiger Mountain Community High School	0
31103	Monroe School District	3061	Monroe Middle School	0
27402	Franklin Pierce School District	5324	Gates Open Doors Program	0
24019	Omak School District	4278	Paschal Sherman	0
33207	Mary Walker School District	1819	Parent Partner Program	0
50001	Unaffiliated Tribal Schools	8555	Yakama Tribal School	0
17405	Bellevue School District	3631	Odle Middle School	0
06114	Evergreen School District (Clark)	3994	Image Elementary School	0
32081	Spokane School District	1567	Eagle Peak at Pratt	0
27403	Bethel School District	4297	Graham Elementary	0
17210	Federal Way Public Schools	3159	Mirror Lake Elementary School	1
17415	Kent School District	3707	Soos Creek Elementary School	1
17403	Renton School District	3034	Campbell Hill Elementary School	1
17001	Seattle Public Schools	2353	Maple Elementary School	1
39119	Selah School District	5385	Selah Middle School	0
18402	South Kitsap School District	3110	South Colby Elementary	0
39007	Yakima School District	3368	Wilson Middle School	0
32356	Central Valley School District	3929	Chester Elementary School	0
39204	Granger School District	4535	Roosevelt Elementary	0
31103	Monroe School District	4362	Chain Lake Elementary School	0
27003	Puyallup School District	5142	Glacier View Junior High	0
31401	Stanwood-Camano School District	3125	Stanwood Elementary School	0
27010	Tacoma School District	2772	Fawcett	0
34033	Tumwater School District	4373	Tumwater Hill Elementary	0
33049	Wellpinit School District	2550	Wellpinit High School	0
16050	Port Townsend School District	3094	Salish Coast Elementary	0
04246	Wenatchee School District	2134	Wenatchee High School	0
27010	Tacoma School District	3453	McCarver	0
27010	Tacoma School District	4283	Pearl Street Center	0
38265	Tekoa School District	3418	Tekoa High School	0
39207	Wapato School District	2757	Satus Elementary	0
39007	Yakima School District	2433	Ridgeview Elementary	0
32361	East Valley School District (Spokane)	1788	The Connection School	0
17001	Seattle Public Schools	1634	Interagency Southwest Youth & Family	0
14005	Aberdeen School District	3154	Hopkins Elementary	0
27400	Clover Park School District	1880	Re-Entry High School	0
32931	Community Colleges of Spokane	5304	Institute for Extended Learning	0
17401	Highline Public Schools	5370	The Learning Center	1
21206	Mossyrock School District	5415	Mossyrock Academy	0
32081	Spokane School District	3357	Balboa Elementary	0
31401	Stanwood-Camano School District	5004	Saratoga School	0
27010	Tacoma School District	2338	Jason Lee	0
39202	Toppenish School District	1508	Eagle High School	0
27010	Tacoma School District	2378	Gault	0
38302	Garfield School District	2895	Garfield Elementary	0
31025	Marysville School District	2813	Totem Middle School	0
23309	Shelton School District	2745	Evergreen Elementary School	0
27400	Clover Park School District	5365	Rainier Elementary School	0
17402	Vashon Island School District	2419	Vashon Island High School	0
14117	Wishkah Valley School District	3375	Wishkah Valley Elementary/High School	0
18401	Central Kitsap School District	5472	Barker Creek Community School	0
17001	Seattle Public Schools	5485	Meany Middle School	0
39119	Selah School District	4161	Selah Middle School	0
33115	Colville School District	5105	Columbia Virtual Academy-Colville	0
36402	Prescott School District	5257	VISTA HERMOSA ELEMENTARY 	0
17408	Auburn School District	4385	Rainier Middle School	1
27003	Puyallup School District	2311	Stewart Elementary	0
25116	Raymond School District	1673	Community Learning Op Ctr	0
32361	East Valley School District (Spokane)	5069	East Valley School District HomeLink	0
31016	Arlington School District	4327	Eagle Creek Elementary	0
17001	Seattle Public Schools	3096	Sealth High School	1
17001	Seattle Public Schools	3277	Whitman Middle School	0
05121	Port Angeles School District	4175	North Olympic Peninsula Skills Center	0
39007	Yakima School District	4020	Yakima Valley Technical Skills Center	0
39208	West Valley School District (Yakima)	3074	West Valley High School	0
17001	Seattle Public Schools	1834	Interagency U District Youth Center	0
22009	Reardan-Edwall School District	5237	Reardan Online Academy	0
17401	Highline Public Schools	1998	Head Start	1
17415	Kent School District	4420	Sunrise Elementary School	1
17400	Mercer Island School District	3162	Island Park Elementary	0
29320	Mount Vernon School District	2295	Mount Vernon High School	0
14064	North Beach School District	3788	North Beach Middle School	0
34111	Olympia School District	3960	Capital High School	0
27401	Peninsula School District	1516	Henderson Bay Alt High School	0
32081	Spokane School District	2109	Willard Elementary	0
31002	Everett School District	1811	Pass Program	0
27010	Tacoma School District	1847	Trans Program	0
37501	Bellingham School District	3200	Alderwood Elementary School	0
19401	Ellensburg School District	1924	Ellensburg Developmental Preschool	0
31002	Everett School District	5091	Forest View Elementary School	0
17414	Lake Washington School District	4424	Einstein Elementary	0
17414	Lake Washington School District	4336	Wilder Elementary	0
22009	Reardan-Edwall School District	2864	Reardan Elementary School	0
37502	Ferndale School District	5474	Parent Community Connection	0
32356	Central Valley School District	2157	Greenacres Elementary	0
31015	Edmonds School District	3122	Lynndale Elementary	0
04019	Manson School District	2623	Manson Junior Senior High School	0
14065	McCleary School District	2835	Mccleary Elem	0
34033	Tumwater School District	3362	Tumwater High School	0
32363	West Valley School District (Spokane)	3195	West Valley High School	0
17001	Seattle Public Schools	2235	Cooper Elementary School	0
31002	Everett School District	4137	Sequoia High School	0
34111	Olympia School District	4458	McKenny Elementary	0
17403	Renton School District	3702	Tiffany Park Elementary School	1
39208	West Valley School District (Yakima)	5221	West Valley High School Freshman Campus	0
39119	Selah School District	3265	Robert S Lince Elementary	0
06119	Battle Ground School District	3996	Pleasant Valley Primary	0
25101	Ocean Beach School District	2517	Ilwaco Middle School	0
50004	Unaffiliated Colleges/Universities	5951	Northwest Career and Technical High School	0
39207	Wapato School District	3141	Wapato High School	0
31015	Edmonds School District	3464	Meadowdale High School	0
17210	Federal Way Public Schools	3519	Adelaide Elementary School	1
17415	Kent School District	3233	Meridian Middle School	1
17414	Lake Washington School District	5139	Carson Elementary	0
31103	Monroe School District	1806	Leaders In Learning	0
17402	Vashon Island School District	1938	Student Link	0
17210	Federal Way Public Schools	1957	Overlake Hospital Medical Center	1
17001	Seattle Public Schools	1545	Renton Tech Coll & Lrning Ctr	0
37502	Ferndale School District	2607	Custer Elem	0
17415	Kent School District	4356	Neely O Brien Elementary School	1
31006	Mukilteo School District	3687	Serene Lake Elementary	0
24019	Omak School District	5195	Washington Virtual Academy Omak Elementary	0
06037	Vancouver School District	3902	Gaiser Middle School	0
08404	Woodland School District	3824	Woodland Middle School	0
18303	Bainbridge Island School District	4542	Sakai Intermediate	0
27403	Bethel School District	2807	Bethel High School	0
31015	Edmonds School District	3534	Chase Lake Elementary	0
27402	Franklin Pierce School District	3300	Morris Ford Middle School	0
23402	Pioneer School District	4463	Pioneer Primary School	0
13144	Quincy School District	3426	George Elementary	0
10309	Republic School District	2789	Republic Elementary School	0
31401	Stanwood-Camano School District	4513	Cedarhome Elementary School	0
17402	Vashon Island School District	3667	McMurray Middle School	0
35200	Wahkiakum School District	2893	Julius A Wendt Elementary/John C Thomas Middle School	0
31002	Everett School District	5414	Other Schools	0
06114	Evergreen School District (Clark)	3970	Sunset Elementary School	0
03052	Kiona-Benton City School District	2759	Kiona-Benton City Primary School	0
13161	Moses Lake School District	2832	Peninsula Elementary	0
27010	Tacoma School District	3452	Whittier	0
06037	Vancouver School District	2644	Peter S Ogden Elementary	0
32361	East Valley School District (Spokane)	3695	Eastvalley Middle School	0
05401	Cape Flattery School District	3145	Neah Bay Junior/ Senior High School	0
32356	Central Valley School District	5166	I-TRACC	0
17411	Issaquah School District	4376	Discovery Elementary	0
17414	Lake Washington School District	4096	Mead Elementary	0
17001	Seattle Public Schools	3479	Nathan Hale High School	0
06037	Vancouver School District	2690	Hazel Dell Elementary School	0
13073	Wahluke School District	1835	Sentinel Tech Alt School	0
03052	Kiona-Benton City School District	4217	Kiona-Benton Intermediate School	0
31004	Lake Stevens School District	5442	Outcomes for Academic Resilience	0
06037	Vancouver School District	3932	Lewis and Clark High School	0
04246	Wenatchee School District	1613	Westside High School	0
17408	Auburn School District	2659	Terminal Park Elementary School	1
06103	Green Mountain School District	2484	Green Mountain School	0
17411	Issaquah School District	4300	Challenger Elementary	0
17415	Kent School District	5275	iGrad	1
04019	Manson School District	2196	Manson Elementary	0
29320	Mount Vernon School District	1992	Skagit Family Learning Center MVSD	0
17403	Renton School District	3337	Cascade Elementary School	1
17001	Seattle Public Schools	2611	T T Minor Elementary School	0
33207	Mary Walker School District	5267	Digital Electronic Contact Mary Walker Parent Partnership Program	0
29103	Anacortes School District	5176	Cap Sante High School	0
06117	Camas School District	2725	Helen Baller Elem	0
17411	Issaquah School District	3673	Issaquah Valley Elementary	0
31306	Lakewood School District	3893	Lakewood Middle School	0
34003	North Thurston Public Schools	5452	Salish Middle School	0
11001	Pasco School District	4555	Rowena Chess Elementary	0
36140	Walla Walla School District	2159	Prospect Point Elementary	0
25101	Ocean Beach School District	1696	Ilwaco Alternative High School	0
37503	Blaine School District	5465	Blaine Re-Engagement	0
06117	Camas School District	4563	Prune Hill Elem	0
22073	Creston School District	2862	Creston Elementary	0
32354	Mead School District	1803	Mead Alternative High School	0
29320	Mount Vernon School District	2880	Washington Elementary School	0
28137	Orcas Island School District	4558	Orcas Island Middle School	0
01147	Othello School District	5367	Desert Oasis High School	0
27401	Peninsula School District	4219	Kopachuck Middle School	0
18100	Bremerton School District	3171	Naval Avenue Elementary School	0
17414	Lake Washington School District	3703	Rush Elementary	0
17403	Renton School District	3668	Sierra Heights Elementary School	1
50005	Skills Centers	4105	Wenatchee Valley Technical Skills Center	0
27320	Sumner School District	4402	Liberty Ridge Elementary	0
27402	Franklin Pierce School District	3180	Brookdale Elementary	0
27401	Peninsula School District	3685	Purdy Elementary School	0
06037	Vancouver School District	3081	Hudson's Bay High School	0
06112	Washougal School District	1528	Excelsior High School	0
04246	Wenatchee School District	2301	Columbia Elementary School	0
17414	Lake Washington School District	1931	Best Night School	0
06119	Battle Ground School District	4450	Summit View High School	0
06117	Camas School District	4508	Skyridge Middle School	0
32414	Deer Park School District	3261	Deer Park Middle School	0
28137	Orcas Island School District	1892	OASIS K-12	0
17403	Renton School District	2475	Renton Senior High School	1
34033	Tumwater School District	4365	East Olympia Elementary	0
04246	Wenatchee School District	3208	Sunnyslope Elementary School	0
17403	Renton School District	2700	Thomson Early Childhood Center	1
17001	Seattle Public Schools	5486	Robert Eagle Staff Middle School	0
37501	Bellingham School District	3576	Sehome High School	0
17210	Federal Way Public Schools	1950	Employment Transition Program	1
32081	Spokane School District	2401	Libby Center	0
17001	Seattle Public Schools	1918	Interagency Seattle Rotary Education Center	0
27403	Bethel School District	4296	Camas Prairie Elementary	0
11051	North Franklin School District	3086	Mesa Elem	0
34003	North Thurston Public Schools	5168	Aspire Middle School	0
27320	Sumner School District	1781	Sumner Special Services	0
17414	Lake Washington School District	1930	LWSD Program at Site 88	0
32361	East Valley School District (Spokane)	5346	East Valley Middle School	0
32361	East Valley School District (Spokane)	5433	EV Parent Partnership	0
17210	Federal Way Public Schools	5029	Sequoyah Middle School	1
17411	Issaquah School District	5062	Issaquah Head Start	0
17001	Seattle Public Schools	2838	Catharine Blaine K-8 School	0
38322	St. John School District	3068	St John/Endicott High	0
36140	Walla Walla School District	2780	Pioneer Middle School	0
37501	Bellingham School District	1693	Discovery Center	0
27010	Tacoma School District	3450	Mcilvaigh	0
16049	Chimacum School District	3275	Chimacum High School	0
06114	Evergreen School District (Clark)	4561	Shahala Middle School	0
14066	Montesano School District	3661	Beacon Avenue Elementary School	0
21401	Centralia School District	3240	Centralia Middle School	0
27010	Tacoma School District	2771	Lister	0
27403	Bethel School District	3751	Spanaway Middle School	0
27404	Eatonville School District	2205	Eatonville Elementary School	0
18400	North Kitsap School District	4461	Vinland Elementary	0
17001	Seattle Public Schools	2372	Bryant Elementary School	0
17001	Seattle Public Schools	2139	Gatewood Elementary School	1
39007	Yakima School District	3023	Discovery Lab School	0
18400	North Kitsap School District	5085	Kingston High School	0
32081	Spokane School District	2950	Ridgeview Elementary	0
07035	Starbuck School District	2135	Starbuck School	0
31015	Edmonds School District	3607	Hazelwood Elementary	0
06114	Evergreen School District (Clark)	4499	Fishers Landing Elementary School	0
17417	Northshore School District	5453	Northshore Primary Center	0
17001	Seattle Public Schools	3157	Roxhill Elementary School	1
27010	Tacoma School District	3244	Meeker	0
17001	Seattle Public Schools	5488	Decatur Elementary School	0
31103	Monroe School District	2547	Monroe Junior High	0
17001	Seattle Public Schools	1546	First Place	0
16050	Port Townsend School District	1977	Port Townsend Special Education	0
17412	Shoreline School District	1890	Career Education Options	0
37501	Bellingham School District	1647	Options High School	0
32360	Cheney School District	5035	HomeWorks	0
02250	Clarkston School District	2823	Parkway Elementary	0
17414	Lake Washington School District	1551	Otteson Elective H S	0
18100	Bremerton School District	2853	View Ridge Elementary School	0
27904	Green Dot Public Schools Tacoma	5378	Destiny Middle School	0
32354	Mead School District	5401	Mead Open Doors	0
25200	North River School District	2292	North River School	0
17001	Seattle Public Schools	2269	Highland Park Elementary School	1
17001	Seattle Public Schools	1637	Interagency United Indians (II-WA-SIL)	0
18401	Central Kitsap School District	3237	Central Kitsap Middle School	0
17401	Highline Public Schools	3335	Parkside Elementary	1
17411	Issaquah School District	5437	Gibson Ek High School	0
08458	Kelso School District	3322	Coweeman Middle School	0
32081	Spokane School District	3190	Linwood Elementary	0
33049	Wellpinit School District	5957	Yakama Nation Tribal School	0
31015	Edmonds School District	3854	Scriber Lake High School	0
17216	Enumclaw School District	3585	Westwood Elementary School	0
13165	Ephrata School District	3373	Ephrata Middle School	0
17210	Federal Way Public Schools	5218	Federal Way Public School ECEAP	1
09207	Mansfield School District	2233	Mansfield Elem and High School	0
31025	Marysville School District	1657	Heritage School	0
34003	North Thurston Public Schools	4408	Horizons Elementary	0
29103	Anacortes School District	3057	Mount Erie Elementary	0
17408	Auburn School District	3227	Pioneer Elementary School	1
32361	East Valley School District (Spokane)	1712	Continuous Curriculum School	0
38302	Garfield School District	1962	Garfield at Palouse High School	0
18400	North Kitsap School District	5319	Chief Kitsap Academy	0
17401	Highline Public Schools	2270	Sea-Tac Occupational Skills Center	1
06114	Evergreen School District (Clark)	4523	Heritage High School	0
17210	Federal Way Public Schools	4570	Todd Beamer High School	1
31103	Monroe School District	4528	Monroe High School	0
17001	Seattle Public Schools	1635	Interagency Programs	0
13156	Soap Lake School District	3089	Soap Lake Middle & High School	0
18100	Bremerton School District	2647	Olympic View Elementary	0
27010	Tacoma School District	4282	Urban League	0
18100	Bremerton School District	2613	West Hills S.T.E.M. Academy	0
07002	Dayton School District	2830	Dayton Elementary School	0
39203	Highland School District	2718	Highland Junior High School	0
34401	Rochester School District	3801	Grand Mound Elementary	0
06037	Vancouver School District	4591	Jefferson Middle School	0
18402	South Kitsap School District	3595	Madrona Heights School	0
17415	Kent School District	2566	Closed Kent Elementary School	1
25155	Naselle-Grays River Valley School District	5050	Washington Connections Academy	0
13301	Grand Coulee Dam School District	2802	Wright Elementary School	0
31006	Mukilteo School District	1960	ECEAP	0
34111	Olympia School District	3696	Reeves Middle School	0
05121	Port Angeles School District	2054	Fairview Elementary	0
32360	Cheney School District	3309	Windsor Elementary	0
27400	Clover Park School District	5027	Harrison Prep School	0
37504	Lynden School District	4201	Lynden High School	0
24350	Methow Valley School District	1845	Home School Experience	0
31006	Mukilteo School District	4583	Odyssey Elementary	0
03017	Kennewick School District	1619	Opportunity For Gifted	0
27010	Tacoma School District	1509	Project Choice	0
17910	Green Dot Public Schools Seattle	5468	Rainier Valley Leadership Academy	1
06101	LaCenter School District	2558	Lacenter Elementary	0
17417	Northshore School District	4069	Wellington Elementary	0
22200	Wilbur School District	3290	Wilbur Elementary School	0
18401	Central Kitsap School District	4101	Silverdale Elementary	0
16049	Chimacum School District	5397	Open Doors Reengagement Program	0
19404	Cle Elum-Roslyn School District	2570	Walter Strom Middle School	0
27400	Clover Park School District	5297	Transition Day Students	0
27404	Eatonville School District	4230	Eatonville Middle School	0
27402	Franklin Pierce School District	3301	Christensen Elementary	0
14028	Hoquiam School District	5191	Hoquiam Homelink School	0
27401	Peninsula School District	2681	Peninsula High School	0
27003	Puyallup School District	4540	Emerald Ridge High School	0
06037	Vancouver School District	4075	Felida Elementary School	0
18401	Central Kitsap School District	1653	New Frontiers Jr High	0
17415	Kent School District	4545	Emerald Park Elementary School	1
29320	Mount Vernon School District	4013	Little Mountain Elementary	0
37506	Nooksack Valley School District	4525	Nooksack Elementary	0
21300	Onalaska School District	4335	Onalaska Middle School 	0
27003	Puyallup School District	5322	Puyallup Parent Partnership Program	0
23309	Shelton School District	3292	Mountain View Elementary	0
36250	College Place School District	4488	Meadow Brook Intermediate School	0
17210	Federal Way Public Schools	1958	Relife Center	1
29100	Burlington-Edison School District	3251	Lucille Umbarger Elementary	0
29317	Conway School District	2578	Conway School	0
32325	Nine Mile Falls School District	4036	Lake Spokane Elementary	0
27320	Sumner School District	2875	Maple Lawn Elementary	0
27010	Tacoma School District	2084	Stadium	0
31002	Everett School District	4334	Heatherwood Middle School	0
17415	Kent School District	3491	Park Orchard Elementary School	1
31401	Stanwood-Camano School District	4512	Port Susan Middle School	0
32363	West Valley School District (Spokane)	2711	Millwood Kindergarten Center	0
17411	Issaquah School District	3038	Issaquah Middle School	0
32081	Spokane School District	2258	Hutton Elementary	0
36140	Walla Walla School District	3510	Garrison Middle School	0
23311	Mary M Knight School District	4002	Mary M Knight Elementary	0
17210	Federal Way Public Schools	4456	Saghalie Middle School	1
05402	Quillayute Valley School District	1671	District Run Home School	0
37501	Bellingham School District	1695	Special Services	0
31015	Edmonds School District	3691	College Place Elementary	0
14028	Hoquiam School District	2268	Emerson Elementary	0
17407	Riverview School District	1854	PARADE	0
17001	Seattle Public Schools	5351	Jane Addams Middle School	1
17001	Seattle Public Schools	3871	John Marshall High School	0
37501	Bellingham School District	5366	Bellingham Family Partnership Program	0
17401	Highline Public Schools	2418	Des Moines Elementary	1
17411	Issaquah School District	4375	Cougar Ridge Elementary	0
17001	Seattle Public Schools	2220	Ballard High School	0
32363	West Valley School District (Spokane)	1838	Spokane Valley High School	0
33207	Mary Walker School District	5266	Mary Walker Paideia High School	0
31016	Arlington School District	5010	Haller Middle School	0
34111	Olympia School District	3711	Washington Middle School	0
13144	Quincy School District	2919	Pioneer Elementary	0
39202	Toppenish School District	1831	Toppenish Pre School	0
08402	Kalama School District	2915	Kalama Elem School	0
17414	Lake Washington School District	3706	Rose Hill Middle School	0
25118	South Bend School District	2804	Chauncey Davis Elementary	0
17415	Kent School District	5016	Mill Creek Middle School	1
34003	North Thurston Public Schools	4122	Woodland Elementary	0
17405	Bellevue School District	2847	Clyde Hill Elementary	0
31306	Lakewood School District	3255	Lakewood Elementary School	0
32354	Mead School District	3562	Colbert Elementary School	0
17001	Seattle Public Schools	1579	Tops K-8 School	0
18402	South Kitsap School District	2995	Olalla Elementary School	0
13161	Moses Lake School District	1731	Midway Middle School	0
37502	Ferndale School District	5207	Cascadia Elementary	0
31002	Everett School District	2601	Snohomish Detention Center	0
17001	Seattle Public Schools	2141	Thurgood Marshall Elementary	1
26070	Selkirk School District	5226	Selkirk High School	0
31015	Edmonds School District	5060	Edmonds Career Access	0
31004	Lake Stevens School District	1753	Homelink	0
17908	Rainier Prep Charter School District	5380	Rainier Prep	1
38304	Steptoe School District	2115	Steptoe Elementary School	0
27010	Tacoma School District	2169	Point Defiance	0
34402	Tenino School District	2457	Parkside Elementary	0
17001	Seattle Public Schools	1578	African American Academy K-8	0
24111	Brewster School District	4223	Brewster Middle School	0
06114	Evergreen School District (Clark)	4560	Illahee Elementary School	0
17401	Highline Public Schools	5254	Gateway to College	1
08458	Kelso School District	3323	Barnes Elementary	0
04129	Lake Chelan School District	3861	Holden Village Community School	0
17400	Mercer Island School District	3433	West Mercer Elementary	0
27010	Tacoma School District	3397	Bryant	0
08404	Woodland School District	4176	Woodland Intermediate School	0
37501	Bellingham School District	1694	Home Port Learning Center	0
32360	Cheney School District	2447	Cheney Middle School	0
06114	Evergreen School District (Clark)	4051	Wyeast Middle School	0
31004	Lake Stevens School District	5099	Cavelero Mid High School	0
17417	Northshore School District	3345	Kenmore Middle School	0
39007	Yakima School District	2410	Franklin Middle School	0
17415	Kent School District	3677	Springbrook Elementary School	1
17001	Seattle Public Schools	2371	Hamilton International Middle School	0
17410	Snoqualmie Valley School District	4397	Chief Kanim Middle School	0
32081	Spokane School District	2045	Shrine Hospital	0
39208	West Valley School District (Yakima)	5096	Children's Village	0
05121	Port Angeles School District	2761	Monroe Elementary	0
37502	Ferndale School District	3762	Vista Middle School	0
17411	Issaquah School District	4460	Beaver Lake Middle School	0
03400	Richland School District	3511	Richland High School	0
17405	Bellevue School District	3742	Cherry Crest Elementary School	0
27403	Bethel School District	2543	Roy Elementary	0
29100	Burlington-Edison School District	4412	Bay View Elementary	0
32414	Deer Park School District	2173	Arcadia Elementary	0
17210	Federal Way Public Schools	3898	Illahee Middle School	1
17415	Kent School District	4466	Sawyer Woods Elementary School	1
34003	North Thurston Public Schools	4255	Meadows Elementary	0
13144	Quincy School District	2510	Quincy Junior High	0
17001	Seattle Public Schools	2733	Lafayette Elementary School	0
06037	Vancouver School District	5271	Vancouver iTech Preparatory	0
32363	West Valley School District (Spokane)	3129	Orchard Center Elementary	0
08130	Toutle Lake School District	3933	Toutle Lake Junior High School	0
17405	Bellevue School District	3338	Chinook Middle School	0
17400	Mercer Island School District	3029	Mercer Island High School	0
05121	Port Angeles School District	4494	Dry Creek Elementary	0
17001	Seattle Public Schools	2080	Stevens Elementary School	0
32363	West Valley School District (Spokane)	1628	Dishman Hills High School	0
29103	Anacortes School District	3923	Secret Harbor	0
17405	Bellevue School District	3633	Ardmore Elementary School	0
04228	Cascade School District	3564	Cascade High School	0
27404	Eatonville School District	5300	Mt. Rainier Parent Partnership	0
17401	Highline Public Schools	5172	Puget Sound High School	1
03017	Kennewick School District	4072	Canyon View Elementary School	0
03017	Kennewick School District	3731	Kamiakin High School	0
34111	Olympia School District	2487	Boston Harbor Elementary	0
28149	San Juan Island School District	2879	Friday Harbor High School	0
28149	San Juan Island School District	1963	Parent Partnership Program	0
17001	Seattle Public Schools	2392	Cleveland High School STEM	1
08404	Woodland School District	3546	Woodland High School	0
14005	Aberdeen School District	1837	Community Learning Op Ctr Cloc	0
27403	Bethel School District	3250	Bethel Middle School	0
06117	Camas School District	3474	Lacamas Heights Elementary	0
